These are patches originally created for the DX-21 by Bobby Clark.  I have converted them for use on the FB-01 using Martin Tarenskeen's FB_CNVRT program for the AtariST.  So a big thanks to him for that very useful program!  The files were originally dated April 22, 1987 (uh.... and it looks like I needed to set the date & time on the AtariST emulator, as they're now dated with the year 2032).

The original patch list is as follows


 DX   DX
 21   27 - patch name


File: A.syx

A 1    1 - DiversDown
A 2    2 - Adrenaline
A 3    3 - ManyPeople
A 4    4 - Ragged Sun
A 5    5 - TURN it ON
A 6    6 - Deep Grand
A 7    7 - OutOnALimb
A 8    8 -   (IT)    
A 9    9 - SummerBUGS
A10   10 - Saxo-SYNH 
A11   11 - Metasmorph
A12   12 - Altered If
A13   13 - TonightTT 
A14   14 - No Regrets
A15   15 - Madelyne  
A16   16 - Willowisp\
B 1   17 - SURGE     
B 2   18 - Sable&Glow
B 3   19 - WhereItsAt
B 4   20 - HellRaiser
B 5   21 - Fantasynth
B 6   22 - Frazetta  
B 7   23 - Let About 
B 8   24 - Autumn    

File: AA.syx

A 1    1 - NEW AGE   
A 2    2 - SMILEY    
A 3    3 - TTT 3     
A 4    4 - Chamelion2
A 5    5 - Nuero     
A 6    6 - Filmguitas
A 7    7 - COOL BASS 
A 8    8 - exks      
A 9    9 - FX for DX 
A10   10 - Frag Perc 
A11   11 - Harpsiano 
A12   12 - Ghastly ~
A13   13 - PAC-MAN FX
A14   14 - AlienPerc 
A15   15 - FilmString
A16   16 - Eerie     
B 1   17 - Serium    
B 2   18 - RATUIG    
B 3   19 - Pianum    
B 4   20 - 60's SciFi
B 5   21 - Chamelion 
B 6   22 - KILSMO    
B 7   23 - MOODestra 
B 8   24 - PianoMan  

File: B.syx

A 1    1 - Latin Perc
A 2    2 - L. Perc. 2
A 3    3 - L. Perc. 3
A 4    4 - L. Perc. 4
A 5    5 - Skid Marks
A 6    6 - SpaceBells
A 7    7 - M/A/R/R/S 
A 8    8 - N/E/E/D/S 
A 9    9 - W/O/M/E/N 
A10   10 - Farpoint  
A11   11 - Zeta Minor
A12   12 - Seti Alpha
A13   13 - Pac - Man 
A14   14 - Randomizer
A15   15 - Crystal   
A16   16 - SynthBells
B 1   17 - Bagpipes  
B 2   18 - Woozy     
B 3   19 - Crickets  
B 4   20 - SteelSynth
B 5   21 - Simon Says
B 6   22 - FuturSynth
B 7   23 - Randomizer
B 8   24 - HellsBells

File: BB.syx

A 1    1 - RAPorSOLO 
A 2    2 - Sarrow    
A 3    3 - \ Osaka \ 
A 4    4 - Split Perc
A 5    5 - SplitPerc2
A 6    6 - Pop Bass  
A 7    7 - Narcissus 
A 8    8 - LastChance
A 9    9 - FX for DX 
A10   10 - DAYDREAM  
