These are patches originally created for the DX-21 by some anonymous person or persons.  I have converted them for use on the FB-01 using Martin Tarenskeen's FB_CNVRT program for the AtariST.  So a big thanks to him for that very useful program!  The files were originally dated January 22, 1998  (uh.... and it looks like I needed to set the date & time on the AtariST emulator, as they're now dated with the year 2032).

The original patch list is as follows


 DX   DX
 21   27 - patch name 


File: 1.SYX

A 1    1 - FENDERBASS
A 2    2 - HARP 1    
A 3    3 - SOLAR WIND
A 4    4 - VISITERS  
A 5    5 - FM SWEEP  
A 6    6 - ELEC.PIANO
A 7    7 - HAMMOND B3
A 8    8 - FLUTE PAD 
A 9    9 - TECHNOBASS
A10   10 - FM SWELL  
A11   11 - VOYAGER   
A12   12 - NEW AGE  1
A13   13 - TWINKLE * 
A14   14 - 2HAND LEAD
A15   15 - VISITORS 2
A16   16 - TOM TOM   
B 1   17 - FM SWEEP 3
B 2   18 - FANTASY   
B 3   19 - STRATA 2  
B 4   20 - ELFIN HARP
B 5   21 - SNARE     
B 6   22 - OCEAN SURF
B 7   23 - LIKEMBE   
B 8   24 - VIBES     




File: 2.SYX

A 1    1 - BRASS LEAD
A 2    2 - VISITERS 3
A 3    3 - TECHNODRUM
A 4    4 - SOUR PAD  
A 5    5 - YOWW !!   
A 6    6 - CONGADRUM 
A 7    7 - FM SWEEP 2
A 8    8 - ANALOGLEAD
A 9    9 - WINDCHIME 
A10   10 - ORCH.PERC 
A11   11 - OBOE      
A12   12 - SWEEP LEAD
A13   13 - HI PASS   
A14   14 - STEELDRUM 
A15   15 - BONANG    
A16   16 - BC HARP   
B 1   17 - FAST LEAD 
B 2   18 - CROTALES  
B 3   19 - SYNTHFLUTE
B 4   20 - VIBRAPHONE
B 5   21 - KENONG    
B 6   22 - GLOOMY    
B 7   23 - CZ SWEEP  
B 8   24 - STAR SONG



File: 3.SYX

A 1    1 - MARIMBA   
A 2    2 - NASAL LEAD
A 3    3 - INDUSTBASS
A 4    4 - STEELDRUM 
A 5    5 - PERC. FX  
A 6    6 - PERC.FX 2 
A 7    7 - PERC.FX 3 
A 8    8 - MOOG BASS 
A 9    9 - BOTTLE BLO
A10   10 - TAM TAM 2 
A11   11 - INDUSBASS2
A12   12 - TR-SNARE  
A13   13 - MULT-FORM 
A14   14 - RIDE 1    
A15   15 - RIDE 2    
A16   16 - UDU 2     
B 1   17 - TR-KICK   
B 2   18 - DRIPPY 2  
B 3   19 - MOOG BASS3
B 4   20 - COW BELL  
B 5   21 - COW BELL 2
B 6   22 - SYNTHTOM 2
B 7   23 - ALIEN HIT 
B 8   24 - FX-2      




File: 4.SYX

A 1    1 - ANA.BRASS 
A 2    2 - SLOW LEAD 
